id,actorid_id,movieid_id
7605,nm0941777,tt0499549
7606,nm0757855,tt0499549
7607,nm0000244,tt0499549
7608,nm0002332,tt0499549
7609,nm0735442,tt0499549
7610,nm0000136,tt0449088
7611,nm0001691,tt0449088
7612,nm0089217,tt0449088
7613,nm0461136,tt0449088
7614,nm0202603,tt0449088
7615,nm0185819,tt2379713
7616,nm0910607,tt2379713
7617,nm2244205,tt2379713
7618,nm0000146,tt2379713
7619,nm0000899,tt2379713
7620,nm0000288,tt1345836
7621,nm0000198,tt1345836
7622,nm0362766,tt1345836
7623,nm0330687,tt1345836
7624,nm0004266,tt1345836
7625,nm2018237,tt0401729
7626,nm1211488,tt0401729
7627,nm0608090,tt0401729
7628,nm0000353,tt0401729
7629,nm0002006,tt0401729
7630,nm0001497,tt0413300
7631,nm0000379,tt0413300
7632,nm0290556,tt0413300
7633,nm0002006,tt0413300
7634,nm0333410,tt0413300
7635,nm0601553,tt0398286
7636,nm1157048,tt0398286
7637,nm0614220,tt0398286
7638,nm0000579,tt0398286
7639,nm0301370,tt0398286
7640,nm0000375,tt2395427
7641,nm1165110,tt2395427
7642,nm0749263,tt2395427
7643,nm0262635,tt2395427
7644,nm0424060,tt2395427
7645,nm0705356,tt0417741
7646,nm0002091,tt0417741
7647,nm0499270,tt0417741
7648,nm2917590,tt0417741
7649,nm0000980,tt0417741
7650,nm0000255,tt2975590
7651,nm0147147,tt2975590
7652,nm0010736,tt2975590
7653,nm0251986,tt2975590
7654,nm0000178,tt2975590
7655,nm0746125,tt0348150
7656,nm0098378,tt0348150
7657,nm0000228,tt0348150
7658,nm0005188,tt0348150
7659,nm0000205,tt0348150
7660,nm0185819,tt0830515
7661,nm1385871,tt0830515
7662,nm0023832,tt0830515
7663,nm0001132,tt0830515
7664,nm0316284,tt0830515
7665,nm0000136,tt0383574
7666,nm0089217,tt0383574
7667,nm0461136,tt0383574
7668,nm0202603,tt0383574
7669,nm0631490,tt0383574
7670,nm0000136,tt1210819
7671,nm2309517,tt1210819
7672,nm0001209,tt1210819
7673,nm0929489,tt1210819
7674,nm2235721,tt1210819
7675,nm0147147,tt0770828
7676,nm0010736,tt0770828
7677,nm0788335,tt0770828
7678,nm0000178,tt0770828
7679,nm0000128,tt0770828
7680,nm1602660,tt0499448
7681,nm1670137,tt0499448
7682,nm1342727,tt0499448
7683,nm0608440,tt0499448
7684,nm0691600,tt0499448
7685,nm0000375,tt0848228
7686,nm0262635,tt0848228
7687,nm0749263,tt0848228
7688,nm1165110,tt0848228
7689,nm0424060,tt0848228
7690,nm0000136,tt1298650
7691,nm0004851,tt1298650
7692,nm0001691,tt1298650
7693,nm0574534,tt1298650
7694,nm0573618,tt1298650
7695,nm0000226,tt1409024
7696,nm0000169,tt1409024
7697,nm0000982,tt1409024
7698,nm1318596,tt1409024
7699,nm0000668,tt1409024
7700,nm0005212,tt2310332
7701,nm0293509,tt2310332
7702,nm0035514,tt2310332
7703,nm0832792,tt2310332
7704,nm0574615,tt2310332
7705,nm1940449,tt0948470
7706,nm1297015,tt0948470
7707,nm0406975,tt0948470
7708,nm0001459,tt0948470
7709,nm0000640,tt0948470
7710,nm0000128,tt0955308
7711,nm0000949,tt0955308
7712,nm0001884,tt0955308
7713,nm0000458,tt0955308
7714,nm0835016,tt0955308
7715,nm0005212,tt1170358
7716,nm0293509,tt1170358
7717,nm0035514,tt1170358
7718,nm0832792,tt1170358
7719,nm0574615,tt1170358
7720,nm0000173,tt0385752
7721,nm0185819,tt0385752
7722,nm2301950,tt0385752
7723,nm2036501,tt0385752
7724,nm0383603,tt0385752
7725,nm0915208,tt0360717
7726,nm0085312,tt0360717
7727,nm0004778,tt0360717
7728,nm0470981,tt0360717
7729,nm0004988,tt0360717
7730,nm0000138,tt0120338
7731,nm0000701,tt0120338
7732,nm0000708,tt0120338
7733,nm0000870,tt0120338
7734,nm0004920,tt0120338
7735,nm0262635,tt3498820
7736,nm0000375,tt3498820
7737,nm0424060,tt3498820
7738,nm1659221,tt3498820
7739,nm1107001,tt3498820
7740,nm2018237,tt1440129
7741,nm0002907,tt1440129
7742,nm1982597,tt1440129
7743,nm2395937,tt1440129
7744,nm0038355,tt1440129
7745,nm0695435,tt0369610
7746,nm0397171,tt0369610
7747,nm0451234,tt0369610
7748,nm0000352,tt0369610
7749,nm1339223,tt0369610
7750,nm0185819,tt1074638
7751,nm0001132,tt1074638
7752,nm0000849,tt1074638
7753,nm0000146,tt1074638
7754,nm0365140,tt1074638
7755,nm0001497,tt0316654
7756,nm0000379,tt0316654
7757,nm0290556,tt0316654
7758,nm0000547,tt0316654
7759,nm0365281,tt0316654
7760,nm0000375,tt1300854
7761,nm0000569,tt1300854
7762,nm0000332,tt1300854
7763,nm0001602,tt1300854
7764,nm0356017,tt1300854
7765,nm0000136,tt1014759
7766,nm1985859,tt1014759
7767,nm0000307,tt1014759
7768,nm0004266,tt1014759
7769,nm0000417,tt1014759
7770,nm0413168,tt0376994
7771,nm0000932,tt0376994
7772,nm0005212,tt0376994
7773,nm0001772,tt0376994
7774,nm0000463,tt0376994
7775,nm0000345,tt1453405
7776,nm0000422,tt1453405
7777,nm0000114,tt1453405
7778,nm0000545,tt1453405
7779,nm0812307,tt1453405
7780,nm0479471,tt1055369
7781,nm1083271,tt1055369
7782,nm0241049,tt1055369
7783,nm0879085,tt1055369
7784,nm0001806,tt1055369
7785,nm0000242,tt2109248
7786,nm0001804,tt2109248
7787,nm0001288,tt2109248
7788,nm2443758,tt2109248
7789,nm2930503,tt2109248
7790,nm0290556,tt1623205
7791,nm0005109,tt1623205
7792,nm0001838,tt1623205
7793,nm0931329,tt1623205
7794,nm0103785,tt1623205
7795,nm1940449,tt1872181
7796,nm1297015,tt1872181
7797,nm0004937,tt1872181
7798,nm2851530,tt1872181
7799,nm0272173,tt1872181
7800,nm0000313,tt1104001
7801,nm1330560,tt1104001
7802,nm1312575,tt1104001
7803,nm0000310,tt1104001
7804,nm0289656,tt1104001
7805,nm1249256,tt1216475
7806,nm0005562,tt1216475
7807,nm0000323,tt1216475
7808,nm0607865,tt1216475
7809,nm0412850,tt1216475
7810,nm0005351,tt1133985
7811,nm0515116,tt1133985
7812,nm0765597,tt1133985
7813,nm0835016,tt1133985
7814,nm0000209,tt1133985
7815,nm0000158,tt0435761
7816,nm0000741,tt0435761
7817,nm0000349,tt0435761
7818,nm0000885,tt0435761
7819,nm0725543,tt0435761
7820,nm0000288,tt0438488
7821,nm0941777,tt0438488
7822,nm1291227,tt0438488
7823,nm0000307,tt0438488
7824,nm0947338,tt0438488
7825,nm0004874,tt2820852
7826,nm0908094,tt2820852
7827,nm0005458,tt2820852
7828,nm0735442,tt2820852
7829,nm0108287,tt2820852
7830,nm0000093,tt0816711
7831,nm0257969,tt0816711
7832,nm2020146,tt0816711
7833,nm0197647,tt0816711
7834,nm0091253,tt0816711
7835,nm0413168,tt1877832
7836,nm0564215,tt1877832
7837,nm1055413,tt1877832
7838,nm2225369,tt1877832
7839,nm0000932,tt1877832
7840,nm1517976,tt1408101
7841,nm0704270,tt1408101
7842,nm0757855,tt1408101
7843,nm0881631,tt1408101
7844,nm0670408,tt1408101
7845,nm0396558,tt1351685
7846,nm1870434,tt1351685
7847,nm0000191,tt1351685
7848,nm0001804,tt1351685
7849,nm0550371,tt1351685
7850,nm2179281,tt1343092
7851,nm0000821,tt1343092
7852,nm0001950,tt1343092
7853,nm0141885,tt1343092
7854,nm0350453,tt0473075
7855,nm2605345,tt0473075
7856,nm0001426,tt0473075
7857,nm0000547,tt0473075
7858,nm0869750,tt0473075
7859,nm0402271,tt1663662
7860,nm1459109,tt1663662
7861,nm0252961,tt1663662
7862,nm0452860,tt1663662
7863,nm0206359,tt1663662
7864,nm0479471,tt1399103
7865,nm2492819,tt1399103
7866,nm0241049,tt1399103
7867,nm0001806,tt1399103
7868,nm0879085,tt1399103
7869,nm0000148,tt0367882
7870,nm0000949,tt0367882
7871,nm0000261,tt0367882
7872,nm0479471,tt0367882
7873,nm0935653,tt0367882
7874,nm0942482,tt1979388
7875,nm0000531,tt1979388
7876,nm4455823,tt1979388
7877,nm7050523,tt1979388
7878,nm0531808,tt1217209
7879,nm0175262,tt1217209
7880,nm0000668,tt1217209
7881,nm0910278,tt1217209
7882,nm0001059,tt1217209
7883,nm1517976,tt2660888
7884,nm0704270,tt2660888
7885,nm0881631,tt2660888
7886,nm0757855,tt2660888
7887,nm0670408,tt2660888
7888,nm0123785,tt0910970
7889,nm2264184,tt0910970
7890,nm0307531,tt0910970
7891,nm0929609,tt0910970
7892,nm0000676,tt0293564
7893,nm0000329,tt0293564
7894,nm0001884,tt0293564
7895,nm0760796,tt0293564
7896,nm0040939,tt0293564
7897,nm0000131,tt1190080
7898,nm0001605,tt1190080
7899,nm0252230,tt1190080
7900,nm0628601,tt1190080
7901,nm0001624,tt1190080
7902,nm0000120,tt1067106
7903,nm0884313,tt1067106
7904,nm0754512,tt1067106
7905,nm2744955,tt1067106
7906,nm2961916,tt1067106
7907,nm0005109,tt1617661
7908,nm1475594,tt1617661
7909,nm0000293,tt1617661
7910,nm1519666,tt1617661
7911,nm3150488,tt1617661
7912,nm0002907,tt0918940
7913,nm4920741,tt0918940
7914,nm0910607,tt0918940
7915,nm0000168,tt0918940
7916,nm1670137,tt0363771
7917,nm1342727,tt0363771
7918,nm0608440,tt0363771
7919,nm0691600,tt0363771
7920,nm0842770,tt0363771
7921,nm0564215,tt3385516
7922,nm1055413,tt3385516
7923,nm2225369,tt3385516
7924,nm0396558,tt3385516
7925,nm1209966,tt3385516
7926,nm0000288,tt0468569
7927,nm0005132,tt0468569
7928,nm0001173,tt0468569
7929,nm0000323,tt0468569
7930,nm0350454,tt0468569
7931,nm0000799,tt1049413
7932,nm0001626,tt1049413
7933,nm2973712,tt1049413
7934,nm0677037,tt1049413
7935,nm0005148,tt1049413
7936,nm0000702,tt0892782
7937,nm0736622,tt0892782
7938,nm0491402,tt0892782
7939,nm0004715,tt0892782
7940,nm0000662,tt0892782
7941,nm0000375,tt0371746
7942,nm0005024,tt0371746
7943,nm0000313,tt0371746
7944,nm0000569,tt0371746
7945,nm0004753,tt0371746
7946,nm0001426,tt0970179
7947,nm0056187,tt0970179
7948,nm2633535,tt0970179
7949,nm1631269,tt0970179
7950,nm0935653,tt0970179
7951,nm0000226,tt0120891
7952,nm0000177,tt0120891
7953,nm0000110,tt0120891
7954,nm0000161,tt0120891
7955,nm0001826,tt0120891
7956,nm0000409,tt0859163
7957,nm0001472,tt0859163
7958,nm0004742,tt0859163
7959,nm0001314,tt0859163
7960,nm0000706,tt0859163
7961,nm0000226,tt1386697
7962,nm0054697,tt1386697
7963,nm3053338,tt1386697
7964,nm0136797,tt0413099
7965,nm0000151,tt0413099
7966,nm0334179,tt0413099
7967,nm2215447,tt0413099
7968,nm1775177,tt0413099
7969,nm0000129,tt1631867
7970,nm1289434,tt1631867
7971,nm0322407,tt1631867
7972,nm0000200,tt1631867
7973,nm1765073,tt1631867
7974,nm0000126,tt0114898
7975,nm0043173,tt0114898
7976,nm0130107,tt0114898
7977,nm0443601,tt0114898
7978,nm0015382,tt1046173
7979,nm0001172,tt1046173
7980,nm0280081,tt1046173
7981,nm0330687,tt1046173
7982,nm1795989,tt1046173
7983,nm0688132,tt2096673
7984,nm0809613,tt2096673
7985,nm0454236,tt2096673
7986,nm0352778,tt2096673
7987,nm0085400,tt2096673
7988,nm5888481,tt3040964
7989,nm0000195,tt3040964
7990,nm0001426,tt3040964
7991,nm0252961,tt3040964
7992,nm2143282,tt3040964
7993,nm0000375,tt1228705
7994,nm0000569,tt1228705
7995,nm0000332,tt1228705
7996,nm0424060,tt1228705
7997,nm0005377,tt1228705
7998,nm0829576,tt1735898
7999,nm1165110,tt1735898
8000,nm0000234,tt1735898
8001,nm3510471,tt1735898
8002,nm0819874,tt1735898
8003,nm0001401,tt1587310
8004,nm1102577,tt1587310
8005,nm1663205,tt1587310
8006,nm0544334,tt1587310
8007,nm0001767,tt1587310
8008,nm0785227,tt2103281
8009,nm0164809,tt2103281
8010,nm0000198,tt2103281
8011,nm0005392,tt2103281
8012,nm1527905,tt2103281
8013,nm0001326,tt1321869
8014,nm0060607,tt1321869
8015,nm0989182,tt1321869
8016,nm3572924,tt1321869
8017,nm2129444,tt1321869
8018,nm0000206,tt1335975
8019,nm0760796,tt1335975
8020,nm0793069,tt1335975
8021,nm0038355,tt1335975
8022,nm0849032,tt1335975
8023,nm0262635,tt1843866
8024,nm0000168,tt1843866
8025,nm0424060,tt1843866
8026,nm0000602,tt1843866
8027,nm1659221,tt1843866
8028,nm0000196,tt0892791
8029,nm0000552,tt0892791
8030,nm0000139,tt0892791
8031,nm0000104,tt0892791
8032,nm0000267,tt0892791
8033,nm0000123,tt1964418
8034,nm0491402,tt1964418
8035,nm1429380,tt1964418
8036,nm3864163,tt1964418
8037,nm0005210,tt1964418
