actorid,name,photo
nm0941777,Sam Worthington,https://ia.media-imdb.com/images/M/MV5BMTc5NTMyMjIwMV5BMl5BanBnXkFtZTcwNTMyNjYwMw@@._V1_.jpg
nm0757855,Zoe Saldana,https://ia.media-imdb.com/images/M/MV5BMjA4NDk1NTA1OV5BMl5BanBnXkFtZTcwMTIzMjQ4Ng@@._V1_.jpg
nm0000244,Sigourney Weaver,https://ia.media-imdb.com/images/M/MV5BMTk1MTcyNTE3OV5BMl5BanBnXkFtZTcwMTA0MTMyMw@@._V1_.jpg
nm0002332,Stephen Lang,https://ia.media-imdb.com/images/M/MV5BMjE4NzYwNTc5Nl5BMl5BanBnXkFtZTcwMzQzOTUyNw@@._V1_.jpg
nm0735442,Michelle Rodriguez,https://ia.media-imdb.com/images/M/MV5BNWQ3NDJmYzAtMmE5Mi00MjllLWE4Y2QtOTcxYzVmMjk0MmVkXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm0000136,Johnny Depp,https://ia.media-imdb.com/images/M/MV5BMTM0ODU5Nzk2OV5BMl5BanBnXkFtZTcwMzI2ODgyNQ@@._V1_.jpg
nm0001691,Geoffrey Rush,https://ia.media-imdb.com/images/M/MV5BMTg2MjkxNDU0NV5BMl5BanBnXkFtZTcwOTk3MDQ0NA@@._V1_.jpg
nm0089217,Orlando Bloom,https://ia.media-imdb.com/images/M/MV5BMjE1MDkxMjQ3NV5BMl5BanBnXkFtZTcwMzQ3Mjc4MQ@@._V1_.jpg
nm0461136,Keira Knightley,https://ia.media-imdb.com/images/M/MV5BMTYwNDM0NDA3M15BMl5BanBnXkFtZTcwNTkzMjQ3OA@@._V1_.jpg
nm0202603,Jack Davenport,https://ia.media-imdb.com/images/M/MV5BMTMwNDI0MzgxOV5BMl5BanBnXkFtZTYwMTAwMDY0._V1_.jpg
nm0185819,Daniel Craig,https://ia.media-imdb.com/images/M/MV5BMjEzMjk4NDU4MF5BMl5BanBnXkFtZTcwMDMyNjQzMg@@._V1_.jpg
nm0910607,Christoph Waltz,https://ia.media-imdb.com/images/M/MV5BMTM4MDk3OTYxOF5BMl5BanBnXkFtZTcwMDk5OTUwOQ@@._V1_.jpg
nm2244205,Léa Seydoux,https://ia.media-imdb.com/images/M/MV5BMjM3MTczNzY1MF5BMl5BanBnXkFtZTgwNjgwODgzNDE@._V1_.jpg
nm0000146,Ralph Fiennes,https://ia.media-imdb.com/images/M/MV5BMzc5MjE1NDgyN15BMl5BanBnXkFtZTcwNzg2ODgwNA@@._V1_.jpg
nm0000899,Monica Bellucci,https://ia.media-imdb.com/images/M/MV5BMTI2MzM5Njk1OF5BMl5BanBnXkFtZTYwMjA5OTgz._V1_.jpg
nm0000288,Christian Bale,https://ia.media-imdb.com/images/M/MV5BMTkxMzk4MjQ4MF5BMl5BanBnXkFtZTcwMzExODQxOA@@._V1_.jpg
nm0000198,Gary Oldman,https://ia.media-imdb.com/images/M/MV5BMTc3NTM4MzQ5MV5BMl5BanBnXkFtZTcwOTE4MDczNw@@._V1_.jpg
nm0362766,Tom Hardy,https://ia.media-imdb.com/images/M/MV5BMTQ3ODEyNjA4Nl5BMl5BanBnXkFtZTgwMTE4ODMyMjE@._V1_.jpg
nm0330687,Joseph Gordon-Levitt,https://ia.media-imdb.com/images/M/MV5BMTQzOTg0NTkzNF5BMl5BanBnXkFtZTcwNTQ4MTcwOQ@@._V1_.jpg
