movieid,name,year,length,genres,rate,poster,plot,trailer
tt0499549,Avatar,2009,162,Action|Adventure|Fantasy|Sci-Fi,7.8,https://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_.jpg,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,https://video-http.media-imdb.com/MV5BNjYxM2Q5ZjMtOGVmNi00MzNhLTlmNGMtZTgxYmQ0MzM2YTU4XkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1524560486&Signature=lrKRdh2dBqGv3qgaLNjVqCcevJm2DEn0kjmW35fE1F0SdCT03bepEHKm~RUX~qm8uIK5r-rrBglX~budAjaovjbzgVSlpv8AcPqk-XV~ahgT6dUvw-uglMTuNt~icS8bQoIK579BX5Z0~yBDbFjZIhgIPuNrmHHLeVBeToGc8e0_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0449088,Pirates of the Caribbean: At World's End,2007,169,Action|Adventure|Fantasy,7.1,https://ia.media-imdb.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_.jpg,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",https://www.totaleclips.com/Player/Bounce.aspx?eclipid=e35890&bitrateid=455&vendorid=102&type=.mp4
tt2379713,Spectre,2015,148,Action|Adventure|Thriller,6.8,https://ia.media-imdb.com/images/M/MV5BOWQ1MDE1NzgtNTQ4OC00ZjliLTllZDAtN2IyOTVmMTc5YjUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"A cryptic message from Bond's past, sends him on a trail to uncover a sinister organization. While M battles political forces to keep the Secret Service alive, Bond peels back the layers of deceit to reveal the terrible truth behind S.P.E.C.T.R.E.",https://video-http.media-imdb.com/MV5BODkzNTQ3YmMtMGVhNy00YjQ1LWJjNzgtYjdhNGM5NjZhMjlkXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1524560489&Signature=KRW6MHdx1vmIonzqbOc8QnE3selTQHWRs3pBAVxakAsPKzU2OwfRI2WhoGMi7~emwdPkGSpuZM4aA4x7aFhH~mO53ofIoTYQMJiq~MR6GgGnyxt00ZdibzISbA0k7i0B3O8YNJ7kMPckLi2n0OACzvZJmXQaLEXt4ReI2UNJDhg_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt1345836,The Dark Knight Rises,2012,164,Action|Thriller,8.4,https://ia.media-imdb.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",https://video-http.media-imdb.com/MV5BNjQ1NTU4Mjc3OF5BMTFeQXdlYm1eQW1lNzAyMjc4ODA4.webm?Expires=1524560490&Signature=C3pDm0JzvYWHFCigcdK27r0iDpTnKPc4q3V11ZnCMOZA5tR9W9GrvvLiS2i1ffgm3e7p0yvv32cDXIRSqvJwv7x5J5jIBOzGjI2VEDa1O5I0aNbnpmB~9oRzK8Jom6j8OrY3JPHiRbEf2iJIyiLlvAu64vTJzBR4PDon2Nv7BaE_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0401729,John Carter,2012,132,Action|Adventure|Sci-Fi,6.6,https://ia.media-imdb.com/images/M/MV5BMDEwZmIzNjYtNjUwNS00MzgzLWJiOGYtZWMxZGQ5NDcxZjUwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",https://video-http.media-imdb.com/MV5BMjAwMzY1OTcyNF5BMTFeQXdlYm1eQW1lNzA3Mjg1NzQ3.webm?Expires=1524560491&Signature=GykiZVc~iFixEF4l~YGlbabO0LFgw6eyPQ~ob5x7pGBD7eI7Moyh5K19C9BaJZHIArZu1ng8SFLZphroHfQID0MZcjv7SjIxmZbBb9uWK8TwZghSNb3V8z8LFLl3kU5SoNTqum26BOsuRsmjze9P6wTg7-utcPXpngy5M~rWgLI_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0413300,Spider-Man 3,2007,139,Action|Adventure|Romance,6.2,https://ia.media-imdb.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",https://www.totaleclips.com/Player/Bounce.aspx?eclipid=e54420&bitrateid=449&vendorid=102&type=.mp4
tt0398286,Tangled,2010,100,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,7.8,https://ia.media-imdb.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_.jpg,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",https://video-http.media-imdb.com/MV5BNDNiYTgzNmItYWMzMS00NjYxLTk1YTQtZWY1NWVmYjQ3NTczXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1524560494&Signature=f96dhFhIwmhHsO4ItTZc30XSe2un4~~nS9UdYPadDsdKWeSJHSx4RKKHr1F5HGLB3MGcVBdKvKDqLbA6uC5fZko6qn-6AyX9gh5sFyoLxD1e9NUYOYPiABCKUdhzEb0l2HI4B7RlYU6Db98WYXyF~ChN8mH9DMzho85F8R0koQI_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt2395427,Avengers: Age of Ultron,2015,141,Action|Adventure|Sci-Fi,7.4,https://ia.media-imdb.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_.jpg,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",https://video-http.media-imdb.com/MV5BMzZhZWRlNDUtZDViZS00OTRkLTg2OWYtZjUxYzgxMTg4Y2Y2XkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1524560495&Signature=R1Y6HxdozjlXkbl2~XTDmsmWWfTmcu5-PvuTOGkpV-NtFDI7f882NuO1U2VzsdntMWtRiX1fejbHnFn6c5gi~DZ5GDASS9x046CLVWNL-bkZBeONro6SP5BvTKKTv007l42McWqavQ~WaaV--9ryWIMm4pxJXI7KFv~a~cnmMp4_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0417741,Harry Potter and the Half-Blood Prince,2009,153,Adventure|Family|Fantasy|Mystery,7.6,https://ia.media-imdb.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_.jpg,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",https://video-http.media-imdb.com/MV5BMTcxNjEyMzY5MV5BMTFeQW1wNF5BbWU3MDUxODIzMzM@.mp4?Expires=1524560496&Signature=gJRetAaxu9a3j3YCsFyU7gb9G7MUNn1tBw~rjBViMKvnDB4t-l~6x25bb0gPsf6E-wE3RsBDQr9ZsHqW-5DTb6T62CqYhIts9CrI6gsFw~yl~gqxAo~fiNUe22ABzWnv2X8Qjp3PKXeOIcLZSdqHcQqZPvFxqmd-VbFdnUY0RjM_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt2975590,Batman v Superman: Dawn of Justice,2016,151,Action|Adventure|Sci-Fi,6.6,https://ia.media-imdb.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",https://video-http.media-imdb.com/MV5BYTI3MjdhMTEtN2E1OS00ZDZjLTg5YjYtZTM2ZjI3M2RjMTQ1XkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1524560497&Signature=UgNQvLpmsmM5TYamNkA65bATxctnjqeDrcT2YhghayScNyHC~Wwu6I40swsS2EM1xhzDZBhvR-CceRDKcCklB8ROB4TEq8Alg~0GR1PFfj1x7YwvDFc6rDfmf2TRo7hcIhyor52NeLh6CohMRbWt6d8lAfgL7xsnZZkNypzVWK4_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
